UserID,ItemID,Timestamp
739263,7385,1511705098
585716,4780259,1511912422
684869,3376826,1511684709
908794,334645,1512312905
474087,3549655,1511795336
811870,43381,1511795702
1013889,4875650,1512179705
712686,1556613,1511938594
866651,3438625,1511696119
383600,851602,1512040812
284176,1723135,1511678026
435540,627600,1511698796
643631,5017334,1511681033
1004463,2221366,1511854893
645344,1698214,1512113461
148648,664703,1511960815
348560,4605159,1512097880
50463,1583704,1512260108
759482,2641993,1511607889
652165,4252236,1512185370
948520,5156164,1512023118
386866,2126791,1512295552
168638,4962172,1512186991
504176,2879295,1512051249
911409,2845251,1512105392
289700,5153423,1512015429
386944,13761,1512099410
658915,1083745,1511660264
451328,3822898,1511690587
294111,1632371,1512261962
797032,1660550,1511661035
17865,4369804,1512181890
996158,3260359,1511786123
743445,4126407,1511681743
656637,1847251,1511847835
318075,4972846,1512216879
193065,3395754,1512311533
576166,1989680,1512297449
288375,175703,1512052225
68030,2558696,1512210731
660465,3430477,1512275384
707546,4247025,1511917984
569656,1909338,1511964192
836372,2637222,1512189672
309444,4135779,1511987325
61104,3193376,1511617442
397751,3192106,1512284751
968173,3611292,1512144787
442616,3781384,1512059613
770524,4832901,1512186319
657654,4666735,1511698437
492854,349486,1512291566
817067,4888631,1512208180
897728,3685477,1512275358
349394,1126388,1511763449
268152,1823403,1511858145
104370,2205976,1511666777
579047,3366144,1512028698
9672,3666347,1511588171
97348,2739161,1511933289
271798,2664850,1512128394
521725,4585954,1512269550
215237,3790094,1511822949
87076,3823922,1512141097
909700,1465398,1512204675
981410,1630962,1511603826
616606,1038045,1512299216
255121,1792267,1512097254
324756,707806,1512239865
571453,3486986,1511544637
658682,501957,1512100830
698982,1770973,1511694767
160493,1638149,1512183481
674986,2845037,1512022562
122448,4220972,1512232842
299370,3602386,1512215557
617254,2811065,1512117598
378131,3533813,1511966501
908389,477137,1512021486
919755,3688574,1511783493
931105,688289,1511833720
197155,1630685,1512298829
563793,3403680,1511789385
751377,2916310,1512043769
200728,508045,1512214236
6181,4356640,1512004943
367578,1290543,1512194400
859114,3390920,1511854269
837414,5086213,1512279774
235154,4133963,1512278486
413053,4096317,1512022596
709322,4755381,1511720019
743717,1779157,1512185564
33466,4867591,1511664048
359071,3617325,1511926229
562543,260496,1511951477
217669,1355829,1511591707
768817,4057425,1512139719
851658,3092955,1511676075
356663,261831,1511704981
400408,4332383,1512191525
95501,2427822,1512025539
201352,1434212,1512275897
555092,2932020,1512192123
105102,4986078,1511883220
700409,5054369,1511658765
421445,76846,1511878307
145861,13898,1511953831
533951,1081025,1511919260
606436,4925641,1512097385
183112,1076456,1511690804
575823,3342965,1512174138
693880,2805634,1511959714
459367,760500,1511712139
506212,3436367,1511912839
200418,2238605,1512019631
971491,3033663,1511843983
185545,4998500,1511603081
405147,495057,1512197234
361340,246965,1512091329
561068,4169486,1511709952
321703,2633282,1512144771
355261,3007018,1512017114
104136,4573256,1512182160
617991,2147481,1512303923
55053,2519210,1512198735
837349,2353564,1511690822
304448,567791,1512010176
799388,500084,1511597882
353242,2036336,1511632063
347095,2127115,1512054581
580632,3599251,1512126001
909545,5136958,1511994413
1013650,2980478,1511971886
746451,973370,1512283490
37408,548028,1512216492
913574,3533327,1511846464
669084,4923558,1512011451
510529,5132929,1511770112
1016595,1361341,1512224887
744434,3878897,1512126090
178488,4105734,1511619420
950593,5091693,1511919724
98537,1112849,1511595420
944025,791814,1511753172
987265,2157985,1512266996
482450,4151116,1511942041
382171,4610399,1512137723
276779,3189426,1512027102
653852,1710298,1511676960
135649,912593,1512052512
90425,1479730,1511700541
682979,4428709,1512000420
815671,4604461,1511856543
212268,5130058,1512294455
997539,2471334,1511848341
229900,3788767,1512053178
675496,3259576,1511782997
699156,874324,1511927643
120142,3181465,1511679914
659445,2933275,1511751771
677240,605508,1511753114
392461,3986716,1511620645
548497,4032387,1511712697
294770,4656575,1511573782
929501,343692,1512289720
8968,2169687,1511569403
77100,2384772,1511769684
575548,848430,1511656127
43656,3938435,1512220334
